pincode,latitude,longitude,city,state
382715,23.299310207366926,72.32068252563472,Kadi,Mehsana
382721,23.24115626017247,72.49679565429683,Kalol,Gujarat
382870,23.5615615844726,72.7450370788574,Vijapur,Gujarat
383001,23.59144134521479,72.96001281738276,Himatnagar,Gujarat
383205,23.4375057220459,72.8568878173828,Prantij,Gujarat
383315,23.464234034220315,73.29607264200844,Modasa,Gujarat
383325,23.2257900238037,73.2142639160156,Bayad,Gujarat
383430,23.8341732025146,73.0008544921875,Surpur,Gujarat
384001,23.605137348175,72.38642501831052,Kadi,Gujarat
384002,23.6083933512369,72.3824055989583,Mehsana,Gujarat
384151,23.9191722869873,72.3715667724609,Sidhpur,Gujarat
384170,23.7985000610351,72.3903656005859,Unjha,Gujarat
384200,23.853281656901,72.13222249348956,Patan,Gujarat
384246,23.4922161102294,71.5450286865234,Gandhinagar,Gujarat
384265,23.72534904479974,72.23422546386715,Patan,Gujarat
384315,23.6915302276611,72.538330078125,Visnagar,Gujarat
384355,23.7810535430908,72.6325073242187,Vadnagar,Mehsana
384415,23.502737045288,72.0433654785156,Becharaji,Gujarat
385001,23.912047195434532,72.21740264892574,Palanpur,Gujarat
385120,24.1886310577392,72.7617950439453,Danta,Gujarat
385310,24.5085582733154,72.0253753662109,Dhanera,Gujarat
385500,24.265297571817968,72.1849009195963,Deesa,Gujarat
385535,24.2667592366536,72.1830813090006,Deesa,Gujarat
385565,24.39132181803377,71.6283060709635,Tharad,Gujarat
387001,22.494116783142047,72.85485649108882,Nadiad,Gujarat
387310,22.6105709075927,72.932632446289,Boriavi,Gujarat
387345,22.6372470855712,72.8906173706054,Kheda,Gujarat
388001,22.553943634033164,72.96084721883136,Anand,Gujarat
388220,22.7043418884277,73.1166152954101,Umreth,Gujarat
388255,22.9589195251464,73.3378143310546,Balasinor,Gujarat
388325,22.53810691833495,72.8981094360351,Anand,Gujarat
388421,22.6024856567382,72.8211975097656,Petlad,Gujarat
388450,22.4818096160888,72.80126953125,Petlad,Gujarat
388470,22.539867401123,72.8203048706054,Anand,Gujarat
388530,22.3629493713378,72.9001770019531,Bhadran,Gujarat
388570,22.4130687713623,72.9076690673828,Ras,Gujarat
389001,22.774502754211397,73.6701202392578,Godhra,Gujarat
389100,22.8429088592529,74.2510070800781,Dahod,Gujarat
389151,22.8290328979492,74.2438888549804,Dahod,Gujarat
389170,23.096435546875,74.1553344726562,Jhalod,Gujarat
389210,22.9503383636474,73.6317062377929,Shehera,Gujarat
389230,23.12627220153804,73.60609893798824,Lunawada,Gujarat
389240,23.1347408294677,73.606460571289,Lunawada,Gujarat
389350,22.5110874176025,73.47038269042964,Halol,Gujarat
390001,22.2588329315185,73.05266328291455,Vadodara,Gujarat
390002,22.335145405360574,73.18268585205075,Vadodara,Gujarat
390006,22.307439327239976,73.22059249877925,Vadodara,Gujarat
390007,22.289285114833234,73.15158081054683,Vadodara,Gujarat
390008,22.346747398376426,73.19869232177729,Vadodara,Gujarat
390011,22.274318695068303,73.18890762329094,Vadodara,Gujarat
390012,22.2949905395507,73.1476440429687,Vadodara,Gujarat
390013,22.23385620117185,73.1880645751953,Vadodara,Gujarat
390015,22.29590161641433,73.1532516479492,Vadodara,Gujarat
390016,22.3381471633911,73.14925765991205,Vadodara,Gujarat
390018,22.43643093109125,73.09766133626296,Vadodara,Gujarat
390019,22.301951169967626,73.23173141479488,Vadodara,Gujarat
390020,22.382265302869968,73.11033376057938,Vadodara,Gujarat
390021,22.3187010628836,73.139652797154,Vadodara,Gujarat
390022,22.3413505554199,73.218765258789,Harni,Gujarat
390023,22.31807613372795,73.16123962402341,Vadodara,Gujarat
390025,22.3014316558837,73.2299194335937,Vadodara,Gujarat
391140,22.2918872833251,73.1351776123046,Vadodara,Gujarat
391165,22.3138999938964,74.013931274414,Chhota Udepur,Gujarat
391170,22.099998474121,74.0499954223632,Kawant,Gujarat
391200,22.0517063140869,73.1180725097656,Karjan,Gujarat
391330,22.343448638916,73.0858764648437,Vadodara,Gujarat
391410,22.294606526692665,73.1346333821614,Vadodara,Gujarat
391450,22.2331809997558,73.0137176513671,Vadodara,Gujarat
391510,22.4620285034179,73.3505554199218,Vadodara,Gujarat
391740,22.346131324768002,73.18474578857419,Vadodara,Gujarat
391760,22.2975730895996,73.358413696289,Vadodara,Gujarat
392001,21.831030065363056,72.96036598899144,Bharuch,Gujarat
392009,21.1992721557617,72.7962265014648,Surat,Gujarat
392011,21.710708618164,73.01170349121091,Bharuch,Gujarat
392012,21.7190933227539,73.0304794311523,Bharuch,Gujarat
392020,21.797285079956,72.9310913085937,Dayadara,Gujarat
